MANDT;ID;NAME;FORM;STREET;POSTBOX;POSTCODE;CITY;COUNTRY;REGION;TELEPHONE;CUSTTYPE;DISCOUNT;LANGU;EMAIL;WEBUSER
000;00000046;AluCast GmbH;;;;22085;Hamburg;;;;B;010;;;
000;00000047;Sedona Suppliers;;;;998098;Sedona;;;602-444-5678;B;000;;;
000;00000048;SRV GmbH;;;;66666;Mannheim;;;;B;000;;;
000;00000049;Becker AG;;;;10002;Berlin;;;030-8853-0;B;009;;;
000;00000050;Lampen-Markt GmbH;;;;65936;Frankfurt;;;069-467653-0;B;005;;;
000;00000051;Müller KG;;;;87123;Rosenheim;;;;B;000;;;
000;00000052;Motorbau GmbH;;;;70321;Stuttgart;;;;B;002;;;
000;00000053;Bikeland international;;;;76102;Ludwigshafen/Rhein;;;;B;002;;;
000;00000054;Becker GmbH;;;;68301;Mannheim;;;;B;000;;;
000;00000055;Blacks AG;;;;66000;Frankfurt/Main;;;;B;000;;;
000;00000056;Bike Retail & Co.;;;;7095;Hannover;;;;B;000;;;
000;00000057;Motor constructions Ltd.;;;;12345;Leeds;;;;B;000;;;
000;00000058;Parts & Pipes;;;;79001;Zuffenhausen;;;;B;005;;;
000;00000059;Harvey Parts & Co.;;;;72345;Stuttgart;;;;B;008;;;
000;00000060;SKF Kugelmeier KGaA;;;;97341;Schweinfurt;;;;B;011;;;
000;00000061;Reihl & Müller;;;;33504;Braunschweig;;;;B;011;;;
000;00000062;Wöllner AG;;;;52078;Aachen;;;;B;000;;;
000;00000063;Lebensmittelgrosshandel-B;;;;68309;Mannheim;;;;B;002;;;
000;00000064;Noe´Company;;;;23456;Freiburg;;;;B;002;;;
000;00000065;Max´Grosshandel;;;;23156;Hamburg;;;;B;002;;;
000;00000066;Lang u. Söhne;;;;86152;Augsburg;;;;B;010;;;
000;00000067;Egerger AG;;;;38104;Braunschweig;;;;B;010;;;
000;00000068;Food & Stuff;;;;32323;Manchester;;;;B;012;;;
000;00000069;Walldorf Grosshandel;;;;69185;Walldorf;;;;B;000;;;
000;00000070;Sommer GmbH;;;;68490;Dessau;;;;B;003;;;
000;00000071;Hamberger u. CO.;;;;47055;Duiburg;;;;B;005;;;
000;00000072;Kreutzschmid;;;;34229;Leipzig;;;;B;005;;;
000;00000073;Humpert u. Töchter;;;;83026;Rosenheim;;;;B;000;;;
000;00000074;Meinecke;;;;20745;Hamburg;;;;B;005;;;
000;00000075;Phunix;;;;60000;Frankfurt;;;069 / 768890;B;000;;;
000;00000076;Alpha Dienstleistungen Gm;;;;66666;Mannheim;;;;B;005;;;
000;00000077;Hertz Autovermietung GmbH;;;;65760;Eschborn;;;06196 / 937 - 0;B;000;;;
000;00000078;EASTERN SUPPLY CO.;;;;19141;PHILADELPHIA;;;215-751-1400;B;010;;;
000;00000079;International Container C;;;;19401;Chicago;;;;B;012;;;
000;00000080;Metal Container Inc.;;;;54321;Chicago;;;;B;012;;;
000;00000081;Real Estate Company USA;;;;;Philadelphia;;;;B;012;;;
000;00000082;Schumacher Beratung;;;;50858;Köln;;;0221 / 43654-36;B;003;;;
000;00000083;E & S Systems;;;;61203;Reichenberg;;;06034 / 9302-7;B;005;;;
000;00000084;Schmalenbach;;;;60599;Frankfurt;;;069 / 2546-326;B;000;;;
000;00000085;Brain Associates;;;;2373;London TW3 LN2;;;;B;000;;;
000;00000086;Schneider AG Deutschland;;;;60441;Frankfurt;;;;B;000;;;
000;00000087;IDES UK;;;;L3B 6H7;London;;;;B;000;;;
000;00000088;Snyder Inc.;;;;54320;New York;;;;B;000;;;
000;00000089;IDES Canada;;;;T6E 4R3;Toronto;;;;B;000;;;
000;00000090;Schneider GmbH;;;;67001;Walldorf;;;;B;001;;;
000;00000091;EASTERN TRUCKING CO.;;;;02154;WALTHAM;;;617-721-1400;B;020;;;
000;00000092;HTG Komponente GmbH;;;;30132;Hannover;;;0511-123456;B;015;;;
000;00000093;HTG Components;;;;19131;Philadelphia;;;215-783-6565;B;015;;;
000;00000094;ABC Dienstleistungen GmbH;;;;66666;Kaiserslautern;;;;B;017;;;
000;00000095;Moralo Ltd.;;;;TW0117;Bathgate, West Lothian, E;;;031 / 4699966;B;012;;;
000;00000096;Plant Ltd.;;;;TE32231;Middlesex UB3 5EY;;;081 / 384 1054;B;015;;;
000;00000097;Abbott Building Supplies,;;;;;Wayne;;;610-725-4500;B;000;;;
000;00000098;International Container C;;;;;Chicago;;;;B;000;;;
000;00000099;Metal Containers;;;;;New York;;;;B;000;;;
000;00000100;Zebra Supplies;;;;;Wayne;;;610-725-4500;B;005;;;
000;00000101;Zebra Supplies;;;;;Philadelphia;;;610-595-4900;B;000;;;
000;00000102;Zebra Supplies;;;;;West Chester;;;708-947-3400;B;002;;;
000;00000103;Zebra Supplies;;;;;Atlanta;;;770-353-2900;B;012;;;
000;00000104;Zebra Supplies;;;;;Foster City;;;415-637-1655;B;011;;;
000;00000105;Aztec Supplies;;;;;Waltham;;;617-672-6500;B;011;;;
000;00000106;Farm Products Inc.;;;;;Cincinnati;;;513-977-5400;B;007;;;
000;00000107;Colinas Maintenance Corp.;;;;;Irving;;;214-868-2000;B;020;;;
000;00000108;Schwartz Brothers;;;;19341;Exton;;;;B;005;;;
000;00000109;Destec Office Supplies;;;;;Houston;;;713-917-5200;B;005;;;
000;00000110;Irvine Plant 3000;;;;;Irvine;;;714-622-2200;B;011;;;
000;00000111;Bellevue Plant 4000;;;;;Bellevue;;;206-462-6395;B;007;;;
000;00000112;Infix Co.;;;;94221;San Mateo;;;415 - 521 3318;B;005;;;
000;00000113;Pyramid Systems;;;;94105;Santa Clara;;;408 - 364 3224;B;000;;;
000;00000114;TetPak Inc.;;;;60606;Chicago, IL;;;312 - 553 9200;B;000;;;
000;00000115;Mitch & Collins;;;;7925;Woodstock;;;448 - 4527;B;002;;;
000;00000116;London Supplying Plant;;;;20001;London;;;;B;003;;;
000;00000117;CINSA;;;;88214;Ravensburg;;;;B;015;;;
000;00000118;D. & P. Forbes;;;;M4T 1E3;Toronta, Ontario;;;416 - 492 4411;B;020;;;
000;00000119;Anda El Eid;;;;1200;Abu Dhabi;;;6067235;B;002;;;
000;00000120;Hatushiba co.ltd;;;;100;Chiyodaku, Tokyo;;;;B;005;;;
000;00000121;Noe Food Company;;;;19113;Lester;;;610-555-1212;B;003;;;
000;00000122;Anita Acht;;;;65189;Wiesbaden;;;;P;012;;;
000;00000123;Hanley Supply House;;;;60154;Westchester;;;;B;005;;;
000;00000124;Porto leather supplier;;;;1234;Porto;;;;B;015;;;
000;00000125;ALUMINIUM-RECYCLING GMBH;;;;43556;Wuppertal;;;;B;010;;;
000;00000126;SAPSOTA AG;;;;32190;Nordenham;;;;B;010;;;
000;00000127;Harley Accessories Produc;;;;1234;Porto;;;;B;000;;;
000;00000128;AC-SCHULUNG;;;;69190;WALLDORF;;;;B;000;;;
000;00000129;BECKER AG;;;;68344;MANNHEIM;;;;B;000;;;
000;00000130;Schwarz Konstruktionen Gm;;;;69190;Walldorf;;;;B;000;;;
000;00000131;Meyer Elektro-Installatio;;;;64321;Lorch;;;;B;000;;;
000;00000132;Hellweger;;;;20000;Hamburg;;;;B;004;;;
000;00000133;Chris Miller;;;;76031;Karlsruhe;;;0721/12 12 12;P;005;;;
000;00000134;Buffetti S.p.A.;;;;20100;Milano;;;;B;002;;;
000;00000135;SAP ITALIA SPA;;;;20041;AGRATE BRIANZA;;;;B;005;;;
000;00000136;IBM of Portugal;;;;2700;Lisboa;;;;B;002;;;
000;00000137;Hewlett Packard;;;;2800;Lisboa;;;;B;007;;;
000;00000138;Lieferanten GmbH;;;;20000;Hamburg;;;;B;015;;;
000;00000139;Kenneth K. Krediman;;;;12345;Heidelberg;;;;B;005;;;
000;00000140;John Smith;;;;;Oakbrook;;;;P;015;;;
000;00000141;Frank Abbott;;;;;Irvine;;;714-622-4567;P;015;;;
000;00000142;Linda Smythe;;;;;Oakbrook;;;708-655-3137;P;000;;;
000;00000143;Karen Mitchell;;;;;Chicago;;;312-323-5600;P;005;;;
000;00000144;Douglas Olson;;;;;Oak Park Heights;;;;B;002;;;
000;00000145;Jean Cosman;;;;;Kitchener;;;;P;020;;;
000;00000146;Tom Peterson;;;;19111;Pascadenia;;;;P;020;;;
000;00000147;BROWER & CO;;;;12345;PITTSBURG;;;;B;000;;;
000;00000148;MotoLux;;;;68135;Mannheim;;;;B;000;;;
000;00000149;Rasch Gruppe 99 KFZ-Zubeh;;;;69134;Heidelberg;;;;B;002;;;
000;00000150;C.E.B Berlin;;;;10001;Berlin;;;030-8853-0;B;002;;;
000;00000151;Becker GmbH;;;;68301;Mannheim;;;;B;005;;;
000;00000152;Harvey Parts & C0.;;;;72345;Stuttgart;;;;B;008;;;
000;00000153;Holmes & Sherlock;;;;12345;London NW 12;;;;B;009;;;
000;00000154;Meier & Müller KG;;;;69101;Heidelberg;;;;B;008;;;
000;00000155;Schmidt & Co. KG;;;;75010;Karlsruhe;;;;B;012;;;
000;00000156;Schultze AG;;;;60900;Frankfurt;;;;B;005;;;
000;00000157;Huber & Wagner;;;;68088;Mannheim;;;;B;000;;;
000;00000158;BROWER & CO;;;;12345;PITTSBURG;;;;B;000;;;
000;00000159;Verleihnix;;;;20001;Hamburg;;;;B;000;;;
000;00000160;Automatix;;;;69190;Walldorf;;;;B;005;;;
000;00000161;Techno Graph ltd.;;;;54323;Rochester;;;;B;005;;;
000;00000162;Becker Berlin;;;;13467;Berlin;;;030-8853-0;B;007;;;
000;00000163;Lampen-Markt GmbH;;;;65936;Frankfurt;;;069-467653-0;B;002;;;
000;00000164;Food & Stuff;;;;80523;München;;;089-120045-0;B;000;;;
000;00000165;Karsson AG;;;;81247;München;;;089-456897-0;B;008;;;
000;00000166;Becker AG;;;;12099;Berlin;;;030-982699-0;B;010;;;
000;00000167;Phunix KG;;;;60529;Frankfurt;;;069-76889-0;B;011;;;
000;00000168;P.S.G. GmbH;;;;90431;Nürnberg;;;;B;000;;;
000;00000169;Buy & Fly Supermarkt;;;;60385;Frankfurt;;;069-465789-0;B;012;;;
000;00000170;Hitech AG;;;;21017;Hamburg;;;040-82597-0;B;014;;;
000;00000171;Star Markt;;;;60549;Frankfurt;;;069-345658-0;B;015;;;
000;00000172;Super Markets Inc.;;;;12437;Berlin;;;;B;000;;;
000;00000173;J & P Inc.;;;;70563;Stuttgart;;;0711-805964;B;000;;;
000;00000174;Automobile Courier Hmbg.;;;;21017;Hamburg;;;040-2251-0;B;018;;;
000;00000175;Waffles and Wafers Inc.;;;;22359;Hamburg;;;;B;000;;;
000;00000176;Karpov SR.;;;;111111;Moscow;;;;B;005;;;
000;00000177;Werk Hamburg 1000;;;;22299;Hamburg;;;;B;000;;;
000;00000178;Werk 2000 London;;;;20001;London;;;;B;020;;;
000;00000179;Werk 1200 Dresden;;;;10069;Dresden;;;;B;002;;;
000;00000180;Supermarket;;;;19113;Boston;;;;B;005;;;
000;00000181;ALDO Supermarkt;;;;70599;Stuttgart;;;0711-564321-0;B;012;;;
000;00000182;Russian Prisunic;;;;150021;Moscow;;;;B;015;;;
000;00000183;Minerva GmbH;;;;20097;Hamburg;;;040-936247;B;001;;;
000;00000184;Christal Clear;;;;30625;Hannover;;;0511-347589-0;B;020;;;
000;00000185;Becker Köln;;;;51105;Köln;;;0221-5689-100;B;013;;;
000;00000186;NSM Pumpentechnik AG;;;;26721;Emden;;;02670-8560-0;B;012;;;
000;00000187;FAST International;;;;81373;München;;;089-243567-0;B;007;;;
000;00000188;Superplus;;;;81679;München;;;089-2499239;B;005;;;
000;00000189;NSM Marschfelden GmbH;;;;28779;Bremen;;;03266-288817;B;002;;;
000;00000190;Technik und Systeme GmbH;;;;52078;Aachen;;;0241-77729;B;005;;;
000;00000191;Hartmann, Waldemar;Herr;Isarstr. 12;;80123;München;GER;;083-456780;P;000;;;
000;00000192;Mann, Thomas;Herr;Breite Gasse 1;1;10000;Lübeck;GER;;+49 (1) 1;P;000;;;
000;00000193;Schnell und Billig;Fa.;;;;;;;;P;000;;;
000;00000194;Gut und Teuer;;;;;;;;;P;000;;;
000;00000195;aaaaaa;;;;;;;;;P;000;;;
000;00000196;aaaaaa;;;;;;;;;P;000;;;
000;00000197;aaaaaaaaaaaaa;;;;;;;;;B;000;;;
000;00000198;TestKunde;;;;;;;;;B;003;;;
000;00000199;;;;;;;;;;B;010;;;
000;00000200;Jedermann, Hans;Herr;;;;Salzburg;;;;P;000;;;
100;00000001;SAP AG;Firma;Dietmar-Hopp-Allee 16;;69190;Walldorf;DE;;06227-34-0;B;010;D;info@sap.de;
100;00000002;Andreas Klotz;Herr;Pimpinellenweg 9;;69190;Walldorf;DE;;05344-676792;P;020;D;Andreas.Klotz@sap.com;
100;00000003;Hans Bullinger;Herr;Veilchenstraße 12;;69119;Heidelberg;DE;;02099-44591;P;000;D;Hansi@Bulli.de;
100;00000004;Staerck;Frau;Kaiserstr. 55;;69115;Heidelberg;DE;;07508-66-7886;P;000;D;Farbenblind@gmx.de;
100;00000005;Martin;Mister;44 Harolds Road;;L07 1AZ;Liverpool;GB;;;P;000;E;Steve.Martin@hool.uk;
100;00000006;Starr;Miss;74 Kings Road;;L07 3BC;Liverpool;GB;;;P;000;E;FCStar@unio.uk;
100;00000007;King;Mister;Hyde Park 7;;M21 7AB;Manchester;GB;;;P;000;E;Burger@King.com;
100;00000008;Moore;Company;;A-312;SW3 4DE;London;GB;;;P;000;E;Moore@abc.net;
100;00000009;Everton FC;;Sir Wellington Road;;L08 5RZ;Liverpool;GB;;332-5678-0;B;000;E;Football.Liverpool@sports.com;
100;00000010;Raupp;Herr;Glockenblumenweg 5;;8002;Zuerich;CH;;;P;000;D;HelmutDanielaRaupp@swiss.ch;
100;00000011;Ballmann;Herr;Ballmanns Leiden 7;;69115;Heidelberg;DE;;;P;000;D;Ball@mann.net;
100;00000012;Radetzky;Frau;Mozartstr. 102;;1000;Wien;AT;;;P;000;D;Radetzky@Marsch.at;
100;00000013;Mueller;Firma;;44321;68159;Mannheim;DE;;;B;000;D;Vitamine@mueller.net;
100;00000014;Genee;Herr;Albrecht-Duerer-Str. 4;;50733;Koeln;DE;;;P;000;D;Mausklick@cologne.net;
100;00000015;Soehnen;Herr;Veilchenstr. 6;;01099;Dresden;DE;;;P;000;D;Pastor.Soehnen@kirche.de;
100;00000016;Leihinger Brauerei;Firma;Leopoldsgasse 3;;80339;Muenchen;DE;;;B;005;D;Gutes-Bier@gluck-gluck.de;
100;00000017;Ruthenberg;Frau;Hirschheimer Str. 6A;;69118;Heidelberg;DE;;;P;000;D;Briefkasten@ruthi.de;
100;00000018;Miller;Herr;Am Sandberg 17;;46539;Dinslaken;DE;;;P;000;E;MisterMiller@box.com;
100;00000019;Plum;Herr;Dudenhoeferweg 26;;69493;Großsachsen;DE;;;P;000;D;Feuerrot@asdf.net;
100;00000020;Becker;Herr;Wimbledonallee 6;;69181;Leimen;DE;;;P;000;D;Tennisarm@sabrina.de;
100;00000021;SAP Oesterreich;Firma;;25;1221;Wien;AT;;;B;010;D;info@sap.at;
100;00000022;SAP (Schweiz) AG;Firma;Leugenestr. 6;1305;2500;Biel;CH;;;B;010;D;info@sap.ch;
100;00000023;SAP America Inc.;;701 Lee Road;;PA 19113;Philadelphia;US;PA;;B;015;E;info@sap.us.com;
100;00000024;SAP Thailand;;287 Silom Road, Bangrak;;10500;Bangkok;TH;;;B;005;2;;
100;00000025;SAP Australia PTY.LTD.;;168 Walker Street;;NSW 2060;Sydney;AU;;;B;000;E;;
100;00000026;SAP Belgium SA;;2, Bld. de la Woluwe;;1150;Brussels;BE;;;B;005;F;;
100;00000027;SAP Canada Inc.;;4120 Yonge Street;;M2P 2B8;North York Ontario;CA;;;B;005;E;info@sap.ca;
100;00000028;SAP Danmark A/S;;Rinnager 4B;;2605;Broendy/Copenhagen;DK;;;B;005;K;info@sap.dk;
100;00000029;SAP France SA;;10 Avenue des Olympiades;;94132;Fontenay-Sous-Bois;FR;;;B;010;F;info@sap.fr;
100;00000030;SAP Italy SPA;;Palazzo Orione 3;;20041;Agrate Brianza/Milano;IT;;;B;010;I;;
100;00000031;SAP Nederland B.V.;;Bruistensingel 400;;5232;AG'S Hertogenbosch;NL;;;B;005;N;;
100;00000032;SAP Espana y Portugal S.A;;Av. da Libertade, 245-9C;;1250;Lisabon;ES;;;B;010;S;;
100;00000033;Rolf Lau;Herr Dr.;Antoniusweg 17;;69120;Heidelberg;DE;;;P;000;D;Brillenfrosch@physikus.de;
100;00000034;Juergen Stahl;Herr Prof. Dr.;Wuselbert-Ring 2;;68222;Mannheim;DE;;;P;000;D;RomaAeterna@laura.de;
100;00000035;Brucher;Herr;Bergstr. 20;;69133;Heidelberg;DE;;;P;000;D;Brucher@mail.net;
100;00000036;Maggie Faratti;Ms;14 Oak Lane;;10583;Scarsdale;US;NY;914-723-0915;P;000;E;faratti@pipeline.com;
100;00000037;Dampf;Herr;Robert-Bosch-Str. 4;;10883;Berlin;DE;;;P;000;D;HansDampf@centigrade.com;
100;00000038;Rolf-Dietmar Huder;Frau;Im Studienseminar 11;;10452;Berlin;DE;;;P;000;D;knallkopf@musik.de;
100;00000039;Forks Manufacturing GmbH;Firma;Gabelstraße 55-100;;27563;Hamburg;DE;;;B;005;D;;
100;00000040;Electronic Components Dis;;Tower Lane;;94404;Foster City;US;;;B;009;E;;
100;00000041;Wald & Maier;Firma;Kolping Str. 15;;66386;St. Ingbert;DE;;06894/55501-0;B;000;D;;
100;00000042;Mueller;Firma;Ahornstr. 10;;12345;Berlin;DE;;;B;003;D;;
100;00000043;Stolz;Firma;Veilchenstr. 5;;12345;Bremerhaven;DE;;;B;002;D;StolzWieOskar@hallo.net;
100;00000044;KBB Schwarze Pumpe;Firma;Fasanenstr.8;;67210;Frankenthal/Pfalz;DE;;;B;015;D;pumpe@pumpe.com;
100;00000045;SMP GmbH;Firma;Koenigsallee 5-7;;40849;Duesseldorf;DE;;;B;010;D;;
100;00000046;AluCast GmbH;Firma;Elbstraße 9-11;;22085;Hamburg;DE;;;B;010;D;;
100;00000047;Sedona Suppliers;;3456 Red View Way;34446;998098;Sedona;US;AZ;602-444-5678;B;000;E;sedona@business.net;
100;00000048;SRV GmbH;Firma;Rhein-Neckar-Str. 23-25;;66666;Mannheim;DE;;;B;000;D;;
100;00000049;Becker AG;Firma;Beeskowdamm 3;8999;10002;Berlin;DE;;030-8853-0;B;009;D;;
100;00000050;Lampen-Markt GmbH;Firma;Auf der Schanz;;65936;Frankfurt;DE;;069-467653-0;B;005;D;;
100;00000051;Orangenmarkt KG;Firma;Rosenstraße 11;;87123;Rosenheim;DE;;0888-86765765;B;000;D;Orangen-und-Birnen@obst.de;
100;00000052;Motorbau GmbH;Firma;Daimler-Str. 77a;;70321;Stuttgart;DE;;;B;002;D;;
100;00000053;Bikeland international;;Schleichheimer Str. 107;;76102;Ludwigshafen/Rhein;DE;;;B;002;D;;
100;00000054;Becker GmbH;;Hauptstraße 127;;68301;Mannheim;DE;;;B;000;D;;
100;00000056;Blacks AG;;Mainzer Straße 97;;66000;Frankfurt/Main;DE;;;B;000;D;;
100;00000057;Bike Retail & Co.;;Hauptstreetse 5;;7095;Hannover;DE;;;B;000;D;;
100;00000058;Motor constructions Ltd.;Company;Coal road  117;LS14;12345;Leeds;GB;;;B;000;E;;
100;00000059;Parts & Pipes;;Schillerstr.5;;79001;Zuffenhausen;DE;;;B;005;D;;
100;00000060;Harvey Parts & Co.;Firma;Hauptstr. 102;;72345;Stuttgart;DE;;;B;008;D;;
100;00000062;SKF Kugelmeier KGaA;Firma;Georg-Schiffer-Str. 21;;97341;Schweinfurt;DE;;;B;011;D;;
100;00000063;Reihl & Mueller;Firma;Wisperallee 59;;33504;Braunschweig;DE;;;B;011;D;;
100;00000064;Woellner AG;Firma;Am Tiergarten 189;;52078;Aachen;DE;;;B;000;D;;
100;00000065;Lebensmittelgrosshandel-B;Firma;Kaefertaler Str. 12;;68309;Mannheim;DE;;;B;002;D;;
100;00000066;Noe´Company;;Titisee Ring 31;21345;23456;Freiburg;DE;;;B;002;D;;
100;00000067;Max Grosshandel;;Industriestreetse 29;;23156;Hamburg;DE;;;B;002;D;;
100;00000068;Lang u. Soehne;Firma;Am Koepfle;;86152;Augsburg;DE;;;B;010;D;;
100;00000069;Egerger AG;Firma;Am Triangel;;38104;Braunschweig;DE;;;B;010;D;;
100;00000070;Food & Stuff;;Sweetgumroad;123456;32323;Manchester;GB;;0123-765-9869;B;012;E;EatGoodStuff@food.com;
100;00000071;Walldorf Grosshandel;Firma;Abrechnungsstr. 11;;69185;Walldorf;DE;;;B;000;D;;
100;00000072;Sommer GmbH;Firma;Baeckerstr. 198;;68490;Dessau;DE;;;B;003;D;;
100;00000073;Hamberger u. CO.;Firma;Dachstr. 345;;47055;Duiburg;DE;;;B;005;D;;
100;00000074;Kreutzschmid;Firma;Calderonweg 250;;34229;Leipzig;DE;;;B;005;D;;
100;00000075;Humpert u. Toechter;Firma;Mosbachstr. 190;;83026;Rosenheim;DE;;;B;000;D;;
100;00000076;Meinecke;Spedition;Von-Arleger-Weg 23;;20745;Hamburg;DE;;;B;005;D;;
100;00000077;Phunix;Firma;Landstreetse 15;;60000;Frankfurt;DE;;069 / 768890;B;000;D;;
100;00000078;Alpha Dienstleistungen;Firma;Kurpfalz-Straße;;66666;Mannheim;DE;;;B;005;D;;
100;00000079;Hertz Autovermietung;Firma;Gindener Str. 4;1313;65760;Eschborn;DE;;06196 / 937 - 0;B;000;D;;
100;00000080;Eastern Supply Co.;;1000 Broad St.;;19141;Philadelphia;US;PA;215-751-1400;B;010;E;;
100;00000081;International Container C;;Main Street;123456;19401;Chicago;US;;;B;012;E;;
100;00000082;Metal Container Inc.;;Boardwalk Street;12345;54321;Chicago;US;;;B;012;E;;
100;00000083;Real Estate Company USA;;Mainstreet;19414;;Philadelphia;US;PA;;B;012;E;;
100;00000084;Schumacher Beratung;Firma;Muenchener Str. 1055;;50858;Koeln;DE;;0221 / 43654-36;B;003;D;;
100;00000085;E & S Systems;Firma;Untere Waldstreetse 134;;61203;Reichenberg;DE;;06034 / 9302-7;B;005;D;;
100;00000086;Schmalenbach;Firma;Randstreetse 24;;60599;Frankfurt;DE;;069 / 2546-326;B;000;D;;
100;00000088;Brain Associates;;243 Querin Blvd;;2373;London TW3 LN2;GB;CE;;B;000;E;;
100;00000089;Schneider AG Deutschland;;Mainzerlandstr. 1899;;60441;Frankfurt;DE;;;B;000;D;;
100;00000090;IDES UK;Comp;;;L3B 6H7;London;GB;;;B;000;E;;
100;00000091;Snyder Inc.;;5 AVE.;;54320;New York;US;;;B;000;E;;
100;00000092;IDES Canada;;;;T6E 4R3;Toronto;CA;;;B;000;E;;
100;00000094;Schneider GmbH;;Ludwigsstr.  5-7;;67001;Walldorf;DE;;;B;001;D;;
100;00000095;Eastern Trucking & Co.;;1200 Walnut Street;;02154;Waltham;US;MA;617-721-1400;B;020;E;;
100;00000096;HTG Komponente GmbH;;Werner Straße 12;;30132;Hannover;DE;03;0511-123456;B;015;D;;
100;00000097;HTG Components;;4938 Locust Street;;19131;Philadelphia;US;PA;215-783-6565;B;015;E;;
100;00000098;ABC Dienstleistungen GmbH;Firma;Am Hohenrech 87;;66666;Kaiserslautern;DE;;;B;017;D;;
100;00000099;Moralo Ltd.;;Easter Inch;;TW0117;Bathgate, West Lothian, E;GB;;031 / 4699966;B;012;E;;
100;00000126;Plant Ltd.;;Status Park 4;;UB3 5EY;Middlesex;GB;;081 / 384 1054;B;015;E;;
100;00000127;Abbott Building Supplies,;;701 Lee Road;100;;Wayne;US;PA;610-725-4500;B;000;E;;
100;00000128;International Container C;;100 Main Street;12345;;Chicago;US;;;B;000;E;;
100;00000129;Metal Containers;;222 East Pine Street;15243;;New York;US;;;B;000;E;;
100;00000131;Zebra Supplies;;701 Lee Road;100;;Wayne;US;PA;610-725-4500;B;005;E;;
